point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_32B_4xu64_x8_h0.50_t1	32B_4xu64	x8	0.50	100000	1	PASS	800000\t395133512098040216\t3562108199634750912\n	800000\t395133512098040216\t3562108199634750912\n	0.33
1e5_32B_4xu64_x8_h1.00_t32	32B_4xu64	x8	1.00	100000	32	PASS	1600000\t10626975539919429488\t4325900909446851360\n	1600000\t10626975539919429488\t4325900909446851360\n	0.38
1e5_32B_4xu64_x8_h0.05_t1	32B_4xu64	x8	0.05	100000	1	PASS	80000\t5776891976124262914\t3217996089995075350\n	80000\t5776891976124262914\t3217996089995075350\n	0.25
1e5_32B_4xu64_x8_h0.50_t32	32B_4xu64	x8	0.50	100000	32	PASS	800000\t395133512098040216\t3562108199634750912\n	800000\t395133512098040216\t3562108199634750912\n	0.34
1e5_32B_4xu64_x8_h0.05_t32	32B_4xu64	x8	0.05	100000	32	PASS	80000\t5776891976124262914\t3217996089995075350\n	80000\t5776891976124262914\t3217996089995075350\n	0.30
1e5_32B_4xu64_skew_h1.00_t32	32B_4xu64	skew	1.00	100000	32	PASS	1599748\t13114152903747170022\t18351256019847359400\n	1599748\t13114152903747170022\t18351256019847359400\n	0.35
1e5_32B_4xu64_skew_h1.00_t1	32B_4xu64	skew	1.00	100000	1	PASS	1599748\t13114152903747170022\t18351256019847359400\n	1599748\t13114152903747170022\t18351256019847359400\n	0.36
1e5_32B_4xu64_skew_h0.50_t1	32B_4xu64	skew	0.50	100000	1	PASS	799876\t53668402105934850\t4978750867224798502\n	799876\t53668402105934850\t4978750867224798502\n	0.31
1e5_32B_4xu64_skew_h0.05_t1	32B_4xu64	skew	0.05	100000	1	PASS	80000\t15565489420511998785\t14136797258473635785\n	80000\t15565489420511998785\t14136797258473635785\n	0.25
1e5_32B_4xu64_skew_h0.50_t32	32B_4xu64	skew	0.50	100000	32	PASS	799876\t53668402105934850\t4978750867224798502\n	799876\t53668402105934850\t4978750867224798502\n	0.33
1e5_32B_4xu64_skew_h0.05_t32	32B_4xu64	skew	0.05	100000	32	PASS	80000\t15565489420511998785\t14136797258473635785\n	80000\t15565489420511998785\t14136797258473635785\n	0.29
1e5_64B_fs64_unique_h1.00_t32	64B_fs64	unique	1.00	100000	32	PASS	200000\t480328825621305799\t10702574503497690527\n	200000\t480328825621305799\t10702574503497690527\n	0.36
1e5_64B_fs64_unique_h1.00_t1	64B_fs64	unique	1.00	100000	1	PASS	200000\t480328825621305799\t10702574503497690527\n	200000\t480328825621305799\t10702574503497690527\n	0.36
1e5_64B_fs64_unique_h0.50_t1	64B_fs64	unique	0.50	100000	1	PASS	100000\t1557738855349610574\t17020658731820448662\n	100000\t1557738855349610574\t17020658731820448662\n	0.33
1e5_64B_fs64_unique_h0.50_t32	64B_fs64	unique	0.50	100000	32	PASS	100000\t1557738855349610574\t17020658731820448662\n	100000\t1557738855349610574\t17020658731820448662\n	0.33
1e5_64B_fs64_unique_h0.05_t1	64B_fs64	unique	0.05	100000	1	PASS	10000\t8237603212474604498\t6783813533260276478\n	10000\t8237603212474604498\t6783813533260276478\n	0.34
1e5_64B_fs64_unique_h0.05_t32	64B_fs64	unique	0.05	100000	32	PASS	10000\t8237603212474604498\t6783813533260276478\n	10000\t8237603212474604498\t6783813533260276478\n	0.37
1e5_64B_fs64_x8_h1.00_t1	64B_fs64	x8	1.00	100000	1	PASS	1600000\t3961899142580813150\t15565470141136430556\n	1600000\t3961899142580813150\t15565470141136430556\n	0.54
1e5_64B_fs64_x8_h1.00_t32	64B_fs64	x8	1.00	100000	32	PASS	1600000\t3961899142580813150\t15565470141136430556\n	1600000\t3961899142580813150\t15565470141136430556\n	0.54
1e5_64B_fs64_x8_h0.50_t1	64B_fs64	x8	0.50	100000	1	PASS	800000\t9914125871937051236\t12252711259884663218\n	800000\t9914125871937051236\t12252711259884663218\n	0.52
1e5_64B_fs64_x8_h0.05_t1	64B_fs64	x8	0.05	100000	1	PASS	80000\t7118215696630181599\t7758965959413394499\n	80000\t7118215696630181599\t7758965959413394499\n	0.50
1e5_64B_fs64_x8_h0.50_t32	64B_fs64	x8	0.50	100000	32	PASS	800000\t9914125871937051236\t12252711259884663218\n	800000\t9914125871937051236\t12252711259884663218\n	0.64
1e5_64B_fs64_x8_h0.05_t32	64B_fs64	x8	0.05	100000	32	PASS	80000\t7118215696630181599\t7758965959413394499\n	80000\t7118215696630181599\t7758965959413394499\n	0.59
1e5_64B_fs64_skew_h1.00_t1	64B_fs64	skew	1.00	100000	1	PASS	1599748\t16028493406891283264\t8855750074888245754\n	1599748\t16028493406891283264\t8855750074888245754\n	0.62
1e5_64B_fs64_skew_h1.00_t32	64B_fs64	skew	1.00	100000	32	PASS	1599748\t16028493406891283264\t8855750074888245754\n	1599748\t16028493406891283264\t8855750074888245754\n	0.62
1e5_64B_fs64_skew_h0.50_t32	64B_fs64	skew	0.50	100000	32	PASS	799876\t17705940185378038322\t12277526417401374982\n	799876\t17705940185378038322\t12277526417401374982\n	0.43
1e5_64B_fs64_skew_h0.50_t1	64B_fs64	skew	0.50	100000	1	PASS	799876\t17705940185378038322\t12277526417401374982\n	799876\t17705940185378038322\t12277526417401374982\n	0.51
1e5_64B_fs64_skew_h0.05_t1	64B_fs64	skew	0.05	100000	1	PASS	80000\t6452494434444534446\t2443321778854414782\n	80000\t6452494434444534446\t2443321778854414782\n	0.38
1e5_64B_fs64_skew_h0.05_t32	64B_fs64	skew	0.05	100000	32	PASS	80000\t6452494434444534446\t2443321778854414782\n	80000\t6452494434444534446\t2443321778854414782\n	0.36
1e5_64B_8xu64_unique_h1.00_t32	64B_8xu64	unique	1.00	100000	32	PASS	200000\t11096736849895407432\t16615456971196288696\n	200000\t11096736849895407432\t16615456971196288696\n	0.40
1e5_64B_8xu64_unique_h1.00_t1	64B_8xu64	unique	1.00	100000	1	PASS	200000\t11096736849895407432\t16615456971196288696\n	200000\t11096736849895407432\t16615456971196288696\n	0.41
1e5_64B_8xu64_unique_h0.50_t1	64B_8xu64	unique	0.50	100000	1	PASS	100000\t17116300409165087620\t15324450208518263066\n	100000\t17116300409165087620\t15324450208518263066\n	0.35
1e5_64B_8xu64_unique_h0.50_t32	64B_8xu64	unique	0.50	100000	32	PASS	100000\t17116300409165087620\t15324450208518263066\n	100000\t17116300409165087620\t15324450208518263066\n	0.33
1e5_64B_8xu64_unique_h0.05_t1	64B_8xu64	unique	0.05	100000	1	PASS	10000\t5901924066451729319\t6466413483082817125\n	10000\t5901924066451729319\t6466413483082817125\n	0.31
1e5_64B_8xu64_unique_h0.05_t32	64B_8xu64	unique	0.05	100000	32	PASS	10000\t5901924066451729319\t6466413483082817125\n	10000\t5901924066451729319\t6466413483082817125\n	0.32
1e5_64B_8xu64_x8_h1.00_t32	64B_8xu64	x8	1.00	100000	32	PASS	1600000\t9145627523889748852\t1287620137439697292\n	1600000\t9145627523889748852\t1287620137439697292\n	0.39
1e5_64B_8xu64_x8_h1.00_t1	64B_8xu64	x8	1.00	100000	1	PASS	1600000\t9145627523889748852\t1287620137439697292\n	1600000\t9145627523889748852\t1287620137439697292\n	0.42
1e5_64B_8xu64_x8_h0.05_t1	64B_8xu64	x8	0.05	100000	1	PASS	80000\t2575906846655246029\t5165491349962695799\n	80000\t2575906846655246029\t5165491349962695799\n	0.27
1e5_64B_8xu64_x8_h0.05_t32	64B_8xu64	x8	0.05	100000	32	PASS	80000\t2575906846655246029\t5165491349962695799\n	80000\t2575906846655246029\t5165491349962695799\n	0.35
1e5_64B_8xu64_x8_h0.50_t1	64B_8xu64	x8	0.50	100000	1	PASS	800000\t18163746687218573297\t17764853533660347489\n	800000\t18163746687218573297\t17764853533660347489\n	0.39
1e5_64B_8xu64_x8_h0.50_t32	64B_8xu64	x8	0.50	100000	32	PASS	800000\t18163746687218573297\t17764853533660347489\n	800000\t18163746687218573297\t17764853533660347489\n	0.39
1e5_64B_8xu64_skew_h1.00_t1	64B_8xu64	skew	1.00	100000	1	PASS	1599748\t10872785680659301766\t2134324356568335934\n	1599748\t10872785680659301766\t2134324356568335934\n	0.44
1e5_edge_empty_build_t1	8B_u64	edge:empty_build	0.00	0	1	PASS	0\t0\t0\n	0\t0\t0\n	0.15
1e5_edge_empty_probe_t1	8B_u64	edge:empty_probe	1.00	100000	1	PASS	0\t0\t0\n	0\t0\t0\n	0.16
1e5_64B_8xu64_skew_h1.00_t32	64B_8xu64	skew	1.00	100000	32	PASS	1599748\t10872785680659301766\t2134324356568335934\n	1599748\t10872785680659301766\t2134324356568335934\n	0.44
1e5_64B_8xu64_skew_h0.05_t1	64B_8xu64	skew	0.05	100000	1	PASS	80000\t13515595462813131337\t10284271189482019457\n	80000\t13515595462813131337\t10284271189482019457\n	0.30
1e5_64B_8xu64_skew_h0.50_t1	64B_8xu64	skew	0.50	100000	1	PASS	799876\t14451833583246538187\t13217925884556662687\n	799876\t14451833583246538187\t13217925884556662687\n	0.37
1e5_64B_8xu64_skew_h0.50_t32	64B_8xu64	skew	0.50	100000	32	PASS	799876\t14451833583246538187\t13217925884556662687\n	799876\t14451833583246538187\t13217925884556662687\n	0.36
