unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
key64:probe.left_all.S4.T96	WIN	18058350.0	12086198.5	-5972151.5	-33.071	3.000		LOSS	5925442.0	7898354.0	1972912.0	33.296	3.000		1123.5	14926.0	18057335.5	12071297.0	23980865.0	19932019.0	799225.5	859744.0
key64:probe.rf_all.S2.T96	WIN	6458338.0	5429714.0	-1028624.0	-15.927	3.000		LOSS	4452734.5	5488377.0	1035642.5	23.259	3.000		3016.5	7847.0	6455282.5	5420675.5	10917679.5	10878835.0	358446.5	361725.5
key64:probe.rf_all.S4.T96	WIN	37199146.5	34245133.0	-2954013.5	-7.941	3.000		LOSS	8456835.5	10409335.0	1952499.5	23.088	3.000		6761.5	15871.5	37192442.0	34229451.0	45633130.0	44605710.0	6106119.5	1303978.5
key64:probe.semi_anti.S2.T96	WIN	4757550.5	3228083.5	-1529467.0	-32.148	3.000		LOSS	2237185.5	2783930.5	546745.0	24.439	3.000		546.0	6746.5	4757047.0	3221307.5	6994736.0	6033409.5	300240.0	300256.5
key64:probe.semi_anti.S2.T96.anti	NO-VERDICT						harness voided: below-duration-floor (arm A median 36.5 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 36.5 ms < 200 ms)	16.5	4508.5	1488694.0	1818612.0	1517291.5	1850834.5	36378.5	41692.5
key64:probe.semi_anti.S4.T96	WIN	17580854.0	12077816.5	-5503037.5	-31.301	3.000		LOSS	4768438.5	6381558.5	1613120.0	33.829	3.000		1041.0	15174.5	17579885.0	12062988.5	22344921.0	18474498.5	790960.0	851679.5
key64:probe.semi_anti.S4.T96.anti	LOSS	8565328.5	10104113.0	1538784.5	17.965	3.000		WIN	111927.0	90650.0	-21277.0	-19.010	3.000		59.0	12410.0	8565278.5	10090543.0	8677553.5	10194561.5	247891.5	341769.0
lcstr:probe.inner_all.S2.T96	WIN	11598655.0	6376949.0	-5221706.0	-45.020	9.475		LOSS	2153732.5	2642350.5	488618.0	22.687	3.000		108.0	1313219.0	11598545.5	5081378.0	13752387.5	9035596.0	1071963.5	1055152.0
lcstr:probe.inner_all.S3.T96	WIN	19115655.5	10340358.0	-8775297.5	-45.906	3.000		LOSS	2265218.0	2926242.5	661024.5	29.181	3.000		121.0	1382952.5	19115539.0	8948537.0	21382734.0	13246342.5	1305939.0	1387522.5
lcstr:probe.inner_all.S5.T96	WIN	209931439.5	105035907.0	-104895532.5	-49.967	5.967		LOSS	15597626.5	20712640.0	5115013.5	32.794	3.000		819.0	8769404.0	209930666.0	96318541.0	225510753.0	125538065.0	11304233.0	13165832.0
mixed:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 38.6 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 38.6 ms < 200 ms)	0.0	7.5	7481.0	3356.0	8445.5	4402.0	38408.5	37259.5
mixed:build.inner_all.S3.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 84.4 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 84.4 ms < 200 ms)	6.0	111.0	567363.0	239060.5	598474.5	274607.5	84337.0	81072.5
mixed:build.inner_all.S5.T96	WIN	11992753.0	7029929.5	-4962823.5	-41.382	3.000		LOSS	521847.0	589514.5	67667.5	12.967	3.000		2.0	1838.0	11992748.0	7028126.5	12515560.0	7631728.5	956403.5	856921.0
mixed:probe.inner_all.S2.T96	WIN	18860622.5	10721822.0	-8138800.5	-43.152	3.000		LOSS	1979732.5	2311552.5	331820.0	16.761	3.000		2.0	7195.5	18860620.5	10714532.0	20835103.5	13044601.5	461601.5	383044.0
mixed:probe.inner_all.S3.T96	WIN	39096448.5	17467465.0	-21628983.5	-55.322	3.000		LOSS	1943513.5	2344015.5	400502.0	20.607	3.000		32.5	7249.0	39096413.5	17460233.5	41039137.0	19803993.0	699820.0	483312.5
mixed:probe.inner_all.S5.T96	WIN	184541490.0	89253537.0	-95287953.0	-51.635	3.000		LOSS	7790106.5	9426490.0	1636383.5	21.006	3.000		63.5	29429.0	184541411.0	89224098.0	192334574.0	98669001.0	3572092.0	2586122.0
null64:probe.inner_all.S2.T96	WIN	5739817.0	3623325.0	-2116492.0	-36.874	4.074		LOSS	2339847.5	3080753.0	740905.5	31.665	3.000		893.0	7134.0	5738948.5	3616071.5	8053078.0	6705738.5	371450.0	368409.5
null64:probe.inner_all.S3.T96	WIN	9984252.5	5980757.5	-4003495.0	-40.098	3.000		LOSS	2572133.0	3430771.5	858638.5	33.382	3.000		935.5	7529.0	9983277.5	5973203.5	12559457.0	9417315.5	440742.0	452731.0
null64:probe.inner_all.S5.T96	WIN	88490758.5	62039136.0	-26451622.5	-29.892	3.000		LOSS	21086156.5	27800393.0	6714236.5	31.842	3.000		3151.5	67820.0	88487713.0	61971945.0	109547583.5	89816865.5	4266923.5	4523268.0
str:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 28.8 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 28.8 ms < 200 ms)	0.0	6.5	2826.5	1327.0	3817.5	2376.5	28505.5	26869.5
str:build.inner_all.S3.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 55.3 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 55.3 ms < 200 ms)	3.0	71.5	211004.5	132749.0	244650.5	170394.5	55280.5	57490.5
str:build.inner_all.S3.T96.dup16	NO-VERDICT						harness voided: below-duration-floor (arm A median 126.2 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 126.2 ms < 200 ms)	6.5	71.0	163421.5	109972.0	1599514.5	1963089.5	125966.0	132322.0
str:build.inner_all.S5.T96	WIN	5700832.5	4682565.0	-1018267.5	-17.862	4.152		LOSS	533184.0	658168.0	124984.0	23.441	3.000		66.5	1678.0	5700776.5	4680869.5	6236701.0	5343124.0	657120.5	599824.5
str:build.left_all.S3.T96.dup16	NO-VERDICT						harness voided: below-duration-floor (arm A median 126.8 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 126.8 ms < 200 ms)	8.0	72.5	167266.5	108875.5	1620752.0	1956671.5	126317.0	130920.0
