q	run	sec	build_rows	rf_created	prealloc	sel_rows
q104	r6	0.199	2289547	10	0	63949322
q105	r1	0.701	4557990	11	0	63949322
q105	r2	0.218	4557990	11	0	63949322
q105	r3	0.209	4557990	11	0	63949322
q105	r4	0.207	4557990	11	0	63949322
q105	r5	0.211	4557990	11	0	63949322
q105	r6	0.208	4557990	11	0	63949322
q106	r1	0.711	2986122	11	0	66658354
q106	r2	0.224	2986122	11	0	66658354
q106	r3	0.23	2986122	11	0	66658354
q106	r4	0.225	2986122	11	0	66658354
q106	r5	0.226	2986122	11	0	66658354
q106	r6	0.231	2986122	11	0	66658354
q107	r1	0.686	1739829	9	0	66658354
q107	r2	0.194	1739829	9	0	66658354
q107	r3	0.193	1739829	9	0	66658354
q107	r4	0.195	1739829	9	0	66658354
q107	r5	0.192	1739829	9	0	66658354
q107	r6	0.191	1739829	9	0	66658354
q108	r1	0.735	5415403	11	0	66658354
q108	r2	0.237	5415403	11	0	66658354
q108	r3	0.233	5415403	11	0	66658354
q108	r4	0.248	5415403	11	0	66658354
q108	r5	0.235	5415403	11	0	66658354
q108	r6	0.232	5415403	11	0	66658354
